Servername,Response
AKIRA1,No LM Host
QTWPXEHOST,No LM Host
REBELSOLRAPI12,No LM Host
GHQCHEF02,No LM Host
DEVPXE2,No LM Host
BEARSOLRMSP2,No LM Host
BEARSOLRMSP5,No LM Host
QTMHD3D9,No LM Host
QUESTMGT1,No LM Host
GHQQTWRES1,No LM Host
QTMHD1D9,No LM Host
QTMHD2D9,No LM Host
GHQDCPARSE01,No LM Host
BEARSOLRTN2,Exists - Dead Ping
BEARVMHOST01,No LM Host
QTMMGMTDB1,No LM Host
DIS-VASCOID,Exists - Dead Ping
GHQSNC,No LM Host
ODSBUMBLEB,No LM Host
ODSSOUNDB,No LM Host
REBELDOC7,No LM Host
SEARCHHQ,No LM Host
QTXSNRAD01,No LM Host
JSTEST1,No LM Host
QTMEPO1,No LM Host
GHQFLASH,No LM Host
ATEDRONE05,No LM Host
GHQCHISOLRRES2,No LM Host
GHQQTWSOLRRES2,No LM Host
QTMCHEFW1,No LM Host
DEVOPSCENTER1,No LM Host
QTMHDJK1,No LM Host
GHQQTWSOLRAPI2,No LM Host
QTWSOLRJOB75,No LM Host
LUIGIHD2D5,No LM Host
LUIGIHD2D7,No LM Host
LUIGIHD2D8,No LM Host
LUIGIHD2D9,No LM Host
LUIGIHD2D10,No LM Host
LUIGIHD2D11,No LM Host
LUIGIHD2D13,No LM Host
LUIGIHD2D14,No LM Host
LUIGIHD2D6,No LM Host
GHQRABBIT1,No LM Host
GHQRABBIT2,No LM Host
GHQRABBIT3,No LM Host
QTWSOLRFST01,No LM Host
QTWSOLRFST02,No LM Host
CHISOLRFST01,No LM Host
CHISOLRFST02,No LM Host
QTMJAPIMMS1,Exists - Dead Ping
VAULTQTWFE1,No LM Host
VAULTCHIFE1,No LM Host
BEARJDIO31,No LM Host
BEARJDIO33,No LM Host
BEARJDIO34,No LM Host
BEARJDIO35,No LM Host
BEARJDIO36,No LM Host
BEARJDIO38,No LM Host
BEARJDIO37,No LM Host
BEARJDIO32,No LM Host
BEARRDIO5,No LM Host
BEARRDIO6,No LM Host
BEARDOC9,No LM Host
BEARDOC10,No LM Host
BEARDOC11,No LM Host
BEARDOC12,No LM Host
QTXSTATS,No LM Host
SKYNET1,No LM Host
COMPUTRON,No LM Host
devhdjk1,No LM Host
QTMORCA1,No LM Host
LUIGIHDJK1,No LM Host
QTMVCMDR1,No LM Host
REBELVMHOST01,No LM Host
BEARSOLRONEM1,No LM Host
AMSTELPSBHIVE01,No LM Host
AMSTELPSBHIVE02,No LM Host
AMSTELPSBHIVE03,No LM Host
AMSTELPSBHIVE04,No LM Host
QTXBOBLAST01,No LM Host
qtxrabbit1,No LM Host
ATEDRONE06,No LM Host
GHQVASYNC03,No LM Host
GHQVASYNC04,No LM Host
GHQVBATCHE01,No LM Host
GHQPIRAILSDB2,No LM Host
GITGAUGEDB1,No LM Host
GHQPICHEFOPEN,No LM Host
GITGAUGEFE1,No LM Host
GITGAUGEFE2,No LM Host
GHQPICHEFGHRP1,No LM Host
GHQPICHEFGHRP3,No LM Host
GHQPICHEFGHRP2,No LM Host
GHQPICHEFGHRP4,No LM Host
GHQPICHEFGHRP5,No LM Host
QTMDHCP1,No LM Host
QTWDHCP1,No LM Host
GHQPICHEFGHP1,No LM Host
GHQPICHEFGHP2,No LM Host
GHQPICHEFGHP3,No LM Host
GHQQTWSOLRFST1,No LM Host
GHQCHISOLRFST1,No LM Host
3PARSSMC1,No LM Host
TESTPXE1,No LM Host
ATEDRONE07,No LM Host
ATEDRONE08,No LM Host
QTMSPACES1,No LM Host
QTWSPACES1,No LM Host
LUIGISPACES1,No LM Host
QTMSPACEM1,No LM Host
CHISPACEM1,No LM Host
TESTSPACEM1,No LM Host
DEVAPM01,No LM Host
DEVAPM02,No LM Host
ATEDRONETEST01,Exists - Dead Ping
QTWGITCOM01,No LM Host
QTXDHCP1,No LM Host
QTXMAILSVC100,No LM Host
QTXMAILSVC101,No LM Host
QTXMAILSVC102,No LM Host
GHQPICHEFCP4,No LM Host
GHQPICHEFCRP7,No LM Host
QTXPTOV2,No LM Host
GHQDPIDEVBLAST,No LM Host
QTXBATCH12,No LM Host
DEVMACE,No LM Host
QTMCASS24,No LM Host
GHQQTWSOLRJOB2,No LM Host
GHQCHISOLRJOB2,No LM Host
QTMCASS23,No LM Host
TESTJAPI2,No LM Host
CBDEPUPDATE01,No LM Host
GHQBLAST02,No LM Host
QTWLM08,No LM Host
QTMPASS01,No LM Host
QTMWSUS,No LM Host
3PARREPORT2,No LM Host
QTXPTOV1,No LM Host
QTXPTOV3,No LM Host
QTMOME1,No LM Host
GHQBLAST02B,No LM Host
BEARSRCHBAT10,No LM Host
