server,tcpwindowsize,tcptimedwaitdelay,maxuserport,,,,,
GHQVJEPROC02,64240,,,GHQVJEPROC02,,,,GHQVJEPROC01
GHQVJEPROC03,64240,,,GHQVJEPROC03,,,,CBJEPROC100
CBJEPROC108,,30,51024,CBJEPROC108,,,,CBJEPROC101
CBJEPROC109,,30,51024,CBJEPROC109,,,,CBJEPROC102
CBJEPROC110,,30,51024,CBJEPROC110,,,,CBJEPROC103
CBJEPROC111,,30,51024,CBJEPROC111,,,,CBJEPROC104
CBJEPROC112,,30,51024,CBJEPROC112,,,,CBJEPROC105
CBJEPROC113,,30,51024,CBJEPROC113,,,,CBJEPROC106
CBJEPROC114,,30,51024,CBJEPROC114,,,,CBJEPROC107
CBJEPROC115,,30,51024,CBJEPROC115,,,,
CBJEPROC116,64240,30,51024,CBJEPROC116,,,,
CBJEPROC120,64240,30,51024,CBJEPROC120,,,,
CBJEPROC119,64240,30,51024,CBJEPROC119,,,,
CBJEPROC118,64240,30,51024,CBJEPROC118,,,,
CBJEPROC117,64240,30,51024,CBJEPROC117,,,,
CBJEPROC131,64240,30,51024,CBJEPROC131,,,,
CBJEPROC130,64240,30,51024,CBJEPROC130,,,,
CBJEPROC129,64240,30,51024,CBJEPROC129,,,,
CBJEPROC128,64240,30,51024,CBJEPROC128,,,,
CBJEPROC127,64240,30,51024,CBJEPROC127,,,,
CBJEPROC126,64240,30,51024,CBJEPROC126,,,,
CBJEPROC125,64240,30,51024,CBJEPROC125,,,,
CBJEPROC123,64240,30,51024,CBJEPROC123,,,,
CBJEPROC122,64240,30,51024,CBJEPROC122,,,,
CBJEPROC124,64240,30,51024,CBJEPROC124,,,,
CBJEPROC121,64240,30,51024,CBJEPROC121,,,,
